X,Y,OBJECTID,Inventory_,Species,DBH,Condition,TreeHeight,CrownWidth,CrownWid_1,CollectedB,Notes,CrownBaseH,GlobalID,StaffRevie,created_us,created_da,last_edite,last_edi_1,UserID,Structural,Carbon_Sto,Carbon_S_1,Carbon_Seq,Carbon_S_2,Stormwater,Stormwat_1,Pollution_,Pollutio_1,Total_Annu,Family,Genus,Common_nam,Genus_spec,Functional,Size,Native,Edible,Nuisance,Origin,Species_fa,PropertyID,DN_AF1,lat,lon
-13655747.913738697767258,5713220.584302389994264,"954",2017/05/24 00:00:00.000,THPL,32.600000000000001,Fair,"81","25","26",staff,,"3",{F7B0157A-FC06-4A76-94F8-51EA538587BB},,kasie.auger@portlandoregon.gov,2017/05/24 21:11:59.000,PKJOSHUA,2023/01/11 17:34:58.000,"85",7947.029999999999745,1534.200000000000045,99.510000000000005,20.100000000000001,1.300000000000000,42.100000000000001,2.820000000000000,5.120000000000000,11.300000000000001,9.240000000000000,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","119",31.612897872924805,45.5795164200,-122.6716700000
-13655801.397614199668169,5713251.993640639819205,"2155",2017/05/24 00:00:00.000,THPL,27.800000000000001,Fair,"70","34","33",staff,,"2",{508B8D26-5AA5-4ECB-ABDF-6CDC5B2F256D},,kasie.auger@portlandoregon.gov,2017/05/24 21:36:33.000,PKJOSHUA,2023/01/11 17:34:58.000,"124",5899.810000000000400,1046.299999999999955,67.870000000000005,14.699999999999999,0.950000000000000,72.700000000000003,4.860000000000000,8.830000000000000,19.600000000000001,14.650000000000000,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","119",31.591749191284180,45.5797139100,-122.6721510000
-13644632.833023499697447,5698578.486737170256674,"2957",2017/06/17 00:00:00.000,THPL,32.100000000000001,Good,"55","35","39",volunteer,,"3",{90C2BD9A-38EA-4261-9952-E69670DFAC33},,TL,2017/06/17 16:43:11.000,PKJOSHUA,2023/08/10 20:06:51.000,"261",10285.280000000000655,1555.700000000000045,100.909999999999997,26.000000000000000,1.690000000000000,88.700000000000003,5.930000000000000,10.779999999999999,23.899999999999999,18.390000000000001,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","234",31.643810272216797,45.4873791000,-122.5718220000
-13644651.300371900200844,5698575.578109010122716,"3355",2017/06/17 00:00:00.000,THPL,14.000000000000000,Fair,"31","21","20",volunteer,,"24",{A5884610-964E-4338-89B6-160A15648DCF},,TL,2017/06/17 16:20:20.000,PKJOSHUA,2023/08/10 20:06:51.000,"5083",1465.579999999999927,160.099999999999994,10.390000000000001,4.000000000000000,0.260000000000000,19.100000000000001,1.280000000000000,2.320000000000000,5.100000000000000,3.860000000000000,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","234",31.635757446289062,45.4873607800,-122.5719880000
-13644659.232739601284266,5698566.010147569701076,"3752",2017/06/17 00:00:00.000,THPL,28.000000000000000,Good,"50","37","38",volunteer,,"5",{1CAEDADA-4B7F-481B-AC7F-BFED41B02EF3},,TL,2017/06/17 16:10:32.000,PKJOSHUA,2023/08/10 20:06:51.000,"5106",7980.789999999999964,1090.400000000000091,70.730000000000004,19.899999999999999,1.290000000000000,85.799999999999997,5.740000000000000,10.420000000000000,23.100000000000001,17.449999999999999,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","234",31.627134323120117,45.4873005200,-122.5720590000
-13644622.550937799736857,5698592.496058410033584,"4155",2017/06/17 00:00:00.000,THPL,31.100000000000001,Good,"61","40","36",volunteer,,"2",{35AE99BD-5C36-4327-AE31-5E6F5A894EDD},,TL,2017/06/17 17:04:01.000,PKJOSHUA,2023/08/10 20:06:51.000,"5111",9657.209999999999127,1438.400000000000091,93.299999999999997,24.500000000000000,1.590000000000000,91.799999999999997,6.130000000000000,11.140000000000001,24.699999999999999,18.870000000000001,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","234",31.650787353515625,45.4874673300,-122.5717290000
-13644640.750912699848413,5698597.510431420058012,"4553",2017/06/17 00:00:00.000,THPL,33.000000000000000,Fair,"56","37","36",volunteer,,"3",{FD566A2D-1C88-473E-8955-BA5659DCF48B},,TL,2017/06/17 17:13:28.000,PKJOSHUA,2023/08/10 20:06:51.000,"301",8132.300000000000182,1668.799999999999955,108.250000000000000,20.500000000000000,1.330000000000000,86.299999999999997,5.770000000000000,10.490000000000000,23.199999999999999,17.590000000000000,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","234",31.647872924804688,45.4874989100,-122.5718930000
-13647895.001096500083804,5696572.217109180055559,"9853",2017/06/24 00:00:00.000,THPL,23.000000000000000,Fair,"47","22","28",volunteer,,"3",{31C08E51-4E91-4AD4-9734-DCA824B93DE9},,TL,2017/06/24 17:26:47.000,PKJOSHUA,2023/01/11 17:34:58.000,"381",4025.380000000000109,598.700000000000045,38.840000000000003,10.199999999999999,0.660000000000000,40.500000000000000,2.710000000000000,4.920000000000000,10.900000000000000,8.289999999999999,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","63",31.654623031616211,45.4747426200,-122.6011260000
-13647867.223692698404193,5696727.682061860337853,"9855",2017/06/24 00:00:00.000,THPL,20.000000000000000,Fair,"57","27","26",volunteer,,"3",{1A5369D3-8DAC-4E56-8C79-2AAD7C4CF507},,TL,2017/06/24 17:27:42.000,PKJOSHUA,2023/01/11 17:34:58.000,"383",3033.750000000000000,429.899999999999977,27.890000000000001,7.800000000000000,0.510000000000000,43.700000000000003,2.920000000000000,5.310000000000000,11.800000000000001,8.740000000000000,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","63",31.734416961669918,45.4757219200,-122.6008770000
-13647866.017193799838424,5696712.903339619748294,"9856",2017/06/24 00:00:00.000,THPL,27.000000000000000,Fair,"52","32","26",volunteer,,"1",{CE0FB670-DFFE-442A-A233-FA7E30F4D4BD},N,TL,2017/06/24 17:30:55.000,PKJOSHUA,2023/01/11 17:34:58.000,"384",5562.800000000000182,937.899999999999977,60.840000000000003,13.900000000000000,0.900000000000000,54.500000000000000,3.640000000000000,6.620000000000000,14.699999999999999,11.170000000000000,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","63",31.709484100341797,45.4756288300,-122.6008660000
-13647907.448483999818563,5696572.142165049910545,"10252",2017/06/24 00:00:00.000,THPL,21.000000000000000,Fair,"48","15","23",volunteer,,"2",{AEC76A01-6FD5-48AC-9E3F-81310C36FB66},,TL,2017/06/24 17:23:52.000,PKJOSHUA,2023/01/11 17:34:58.000,"5148",3348.920000000000073,445.300000000000011,28.879999999999999,8.600000000000000,0.560000000000000,23.399999999999999,1.560000000000000,2.840000000000000,6.300000000000000,4.960000000000000,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,"1",,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","63",31.561492919921875,45.4747421500,-122.6012380000
